training_error,validation_error,testing_error,nNodes
0.625,0.625,0.8,0
0.265625,0.25,0.3,1
0.140625,0.1875,0.25,2
0.109375,0.25,0.2,3
0.109375,0.25,0.2,4
0.109375,0.25,0.2,5
0.09375,0.25,0.2,6
0.09375,0.25,0.2,7
0.09375,0.25,0.2,8
0.09375,0.25,0.2,9
0.078125,0.25,0.2,10
0.0625,0.25,0.2,11
0.0625,0.125,0.25,12
0.046875,0.125,0.25,13
0.046875,0.125,0.25,14
0.03125,0.125,0.25,15
0.015625,0.125,0.2,16
0.015625,0.125,0.2,17
0.015625,0.125,0.2,18
0.015625,0.125,0.2,19
0.015625,0.125,0.2,20
0.015625,0.125,0.2,21
